,short_name,long_name,predicting_year,PER,continuity,product,num_wins,predicted_wins,error,absError
0,PHO,Phoenix Suns,1992,254.1,0.861875,219.0024375,53,57,-4,4
1,DAL,Dallas Mavericks,1992,211.7,0.693704268,146.8571936,22,47,-25,25
2,BOS,Boston Celtics,1992,211.5,0.837870935,177.2097027,51,51,0,0
3,SAC,Sacramento Kings,1992,204.0,0.404456301,82.50908537,29,38,-9,9
4,CLE,Cleveland Cavaliers,1992,194.3,0.689822154,134.0324446,57,45,12,12
5,MIL,Milwaukee Bucks,1992,192.1,0.757469512,145.5098933,31,47,-16,16
6,DET,Detroit Pistons,1992,186.0,0.739207317,137.492561,48,46,2,2
7,CHI,Chicago Bulls,1992,182.6,0.966946138,176.5643648,67,51,16,16
8,DEN,Denver Nuggets,1992,179.5,0.317560976,57.00219512,24,34,-10,10
9,WSB,Washington Bullets,1992,178.9,0.55745935,99.72947764,25,40,-15,15
10,HOU,Houston Rockets,1992,177.2,0.863252033,152.9682602,42,48,-6,6
11,UTA,Utah Jazz,1992,176.6,0.779212398,137.6089096,55,46,9,9
12,NYK,New York Knicks,1992,175.8,0.670365854,117.8503171,51,43,8,8
13,ATL,Atlanta Hawks,1992,175.4,0.469014228,82.26509553,38,38,0,0
14,GSW,Golden State Warriors,1992,173.3,0.74066565,128.3573572,55,45,10,10
15,MIN,Minnesota Timberwolves,1992,173.2,0.825955285,143.0554553,15,47,-32,32
16,IND,Indiana Pacers,1992,173.1,0.936148374,162.0472835,40,49,-9,9
17,SAS,San Antonio Spurs,1992,173.0,0.802073171,138.7586585,47,46,1,1
18,MIA,Miami Heat,1992,170.2,0.742860772,126.4349035,38,44,-6,6
19,LAL,Los Angeles Lakers,1992,169.1,0.772454268,130.6220168,43,45,-2,2
20,ORL,Orlando Magic,1992,163.2,0.935066057,152.6027805,21,48,-27,27
21,POR,Portland Trail Blazers,1992,161.8,0.936875,151.586375,57,48,9,9
22,CHH,Charlotte Hornets,1992,157.3,0.622662602,97.94482724,31,40,-9,9
23,LAC,Los Angeles Clippers,1992,154.5,0.654496951,101.119779,45,41,4,4
24,PHI,Philadelphia 76ers,1992,153.4,0.576814024,88.48327134,35,39,-4,4
25,NJN,New Jersey Nets,1992,148.6,0.600218496,89.1924685,40,39,1,1
26,SEA,Seattle SuperSonics,1992,143.1,0.600436992,85.92253354,47,38,9,9
27,ATL,Atlanta Hawks,1993,212.2,0.710518293,150.7719817,43,48,-5,5
28,SAS,San Antonio Spurs,1993,208.3,0.588328252,122.5487749,49,44,5,5
29,GSW,Golden State Warriors,1993,201.2,0.784817073,157.9051951,34,49,-15,15
30,PHO,Phoenix Suns,1993,191.3,0.560731707,107.2679756,62,42,20,20
31,BOS,Boston Celtics,1993,185.3,0.82945122,153.697311,48,48,0,0
32,ORL,Orlando Magic,1993,182.2,0.676620935,123.2803343,41,44,-3,3
33,CLE,Cleveland Cavaliers,1993,181.5,0.831158537,150.8552744,54,48,6,6
34,WSB,Washington Bullets,1993,178.7,0.609237805,108.8707957,22,42,-20,20
35,POR,Portland Trail Blazers,1993,177.0,0.800934959,141.7654878,51,46,5,5
36,MIL,Milwaukee Bucks,1993,176.7,0.38675813,68.34016159,28,36,-8,8
37,SEA,Seattle SuperSonics,1993,174.7,0.853333333,149.0773333,55,47,8,8
38,IND,Indiana Pacers,1993,172.0,0.713831301,122.7789837,41,44,-3,3
39,LAL,Los Angeles Lakers,1993,167.5,0.733455285,122.8537602,39,44,-5,5
40,DAL,Dallas Mavericks,1993,167.5,0.536737805,89.90358232,11,39,-28,28
41,NJN,New Jersey Nets,1993,167.0,0.778597561,130.0257927,43,45,-2,2
42,CHH,Charlotte Hornets,1993,166.5,0.810731707,134.9868293,44,45,-1,1
43,LAC,Los Angeles Clippers,1993,164.0,0.599344512,98.2925,41,40,1,1
44,DEN,Denver Nuggets,1993,162.8,0.639329268,104.0828049,36,41,-5,5
45,DET,Detroit Pistons,1993,162.6,0.672240854,109.3063628,40,42,-2,2
46,MIA,Miami Heat,1993,161.7,0.92050813,148.8461646,36,47,-11,11
47,MIN,Minnesota Timberwolves,1993,160.7,0.254893293,40.96135213,19,32,-13,13
48,UTA,Utah Jazz,1993,159.2,0.714314024,113.7187927,47,42,5,5
49,CHI,Chicago Bulls,1993,157.8,0.88390752,139.4806067,57,46,11,11
50,HOU,Houston Rockets,1993,155.3,0.779867886,121.1134827,55,43,12,12
51,PHI,Philadelphia 76ers,1993,148.6,0.713658537,106.0496585,26,41,-15,15
52,SAC,Sacramento Kings,1993,147.7,0.908104675,134.1270605,25,45,-20,20
53,NYK,New York Knicks,1993,125.3,0.573333333,71.83866667,60,36,24,24
54,GSW,Golden State Warriors,1994,226.2,0.638323171,144.3887012,50,47,3,3
55,NJN,New Jersey Nets,1994,209.0,0.422926829,88.39170732,45,39,6,6
56,BOS,Boston Celtics,1994,205.6,0.626356707,128.778939,32,45,-13,13
57,CLE,Cleveland Cavaliers,1994,200.2,0.80765752,161.6930356,47,49,-2,2
58,WSB,Washington Bullets,1994,198.9,0.642322154,127.7578765,24,44,-20,20
59,CHI,Chicago Bulls,1994,193.1,0.663064024,128.0376631,55,44,11,11
60,PHO,Phoenix Suns,1994,193.1,0.790177846,152.583342,56,48,8,8
61,PHI,Philadelphia 76ers,1994,189.3,0.323231707,61.1877622,25,35,-10,10
62,IND,Indiana Pacers,1994,186.6,0.753805894,140.6601799,47,46,1,1
63,MIL,Milwaukee Bucks,1994,185.3,0.571727642,105.9411321,20,41,-21,21
64,ORL,Orlando Magic,1994,183.1,0.862769309,157.9730605,50,49,1,1
65,DAL,Dallas Mavericks,1994,183.1,0.493323171,90.32747256,13,39,-26,26
66,SAC,Sacramento Kings,1994,178.7,0.728597561,130.2003841,28,45,-17,17
67,LAC,Los Angeles Clippers,1994,177.2,0.673887195,119.412811,27,43,-16,16
68,MIA,Miami Heat,1994,176.0,0.959044715,168.7918699,42,50,-8,8
69,UTA,Utah Jazz,1994,172.3,0.649039634,111.829529,53,42,11,11
70,SEA,Seattle SuperSonics,1994,170.1,0.592571138,100.7963506,63,41,22,22
71,SAS,San Antonio Spurs,1994,168.4,0.590523374,99.44413618,55,40,15,15
72,HOU,Houston Rockets,1994,168.1,0.877418699,147.4940833,58,47,11,11
73,NYK,New York Knicks,1994,167.7,0.95620935,160.3563079,57,49,8,8
74,ATL,Atlanta Hawks,1994,167.4,0.741224593,124.080997,57,44,13,13
75,POR,Portland Trail Blazers,1994,166.2,0.801946138,133.2834482,47,45,2,2
76,MIN,Minnesota Timberwolves,1994,162.7,0.743729675,121.0048181,20,43,-23,23
77,LAL,Los Angeles Lakers,1994,162.6,0.644776423,104.8406463,33,41,-8,8
78,DEN,Denver Nuggets,1994,160.5,0.722972561,116.037096,42,43,-1,1
79,CHH,Charlotte Hornets,1994,154.7,0.746824187,115.5337017,41,43,-2,2
80,DET,Detroit Pistons,1994,142.4,0.515289634,73.3772439,20,37,-17,17
81,SEA,Seattle SuperSonics,1995,238.9,0.85824187,205.0339827,57,55,2,2
82,UTA,Utah Jazz,1995,220.6,0.653252033,144.1073984,60,47,13,13
83,IND,Indiana Pacers,1995,208.1,0.84988313,176.8606794,52,51,1,1
84,SAS,San Antonio Spurs,1995,208.0,0.689751016,143.4682114,62,47,15,15
85,PHO,Phoenix Suns,1995,206.4,0.692601626,142.9529756,59,47,12,12
86,CLE,Cleveland Cavaliers,1995,204.2,0.687469512,140.3812744,43,46,-3,3
87,LAL,Los Angeles Lakers,1995,196.3,0.795228659,156.1033857,48,48,0,0
88,HOU,Houston Rockets,1995,190.8,0.734410569,140.1255366,47,46,1,1
89,BOS,Boston Celtics,1995,190.8,0.673932927,128.5864024,35,45,-10,10
90,NYK,New York Knicks,1995,189.4,0.83734248,158.5926657,55,49,6,6
91,WSB,Washington Bullets,1995,188.3,0.597291667,112.4700208,21,42,-21,21
92,ORL,Orlando Magic,1995,184.7,0.791925813,146.2686977,57,47,10,10
93,LAC,Los Angeles Clippers,1995,184.2,0.458414634,84.43997561,17,38,-21,21
94,GSW,Golden State Warriors,1995,182.9,0.48613313,88.91374949,26,39,-13,13
95,DET,Detroit Pistons,1995,182.6,0.460376016,84.06466057,28,38,-10,10
96,CHI,Chicago Bulls,1995,179.2,0.725365854,129.985561,47,45,2,2
97,POR,Portland Trail Blazers,1995,178.6,0.81449187,145.468248,44,47,-3,3
98,ATL,Atlanta Hawks,1995,173.0,0.620284553,107.3092276,42,42,0,0
99,NJN,New Jersey Nets,1995,172.9,0.890904472,154.0373831,30,48,-18,18
100,MIA,Miami Heat,1995,172.4,0.483292683,83.31965854,32,38,-6,6
101,CHH,Charlotte Hornets,1995,172.3,0.800203252,137.8750203,50,46,4,4
102,MIN,Minnesota Timberwolves,1995,172.0,0.650604675,111.9040041,21,42,-21,21
103,DAL,Dallas Mavericks,1995,162.2,0.574283537,93.14878963,36,40,-4,4
104,DEN,Denver Nuggets,1995,154.3,0.98023374,151.2500661,41,48,-7,7
105,PHI,Philadelphia 76ers,1995,145.2,0.522337398,75.84339024,24,37,-13,13
106,SAC,Sacramento Kings,1995,141.0,0.596194106,84.0633689,39,38,1,1
107,MIL,Milwaukee Bucks,1995,137.0,0.505172764,69.2086687,34,36,-2,2
108,DEN,Denver Nuggets,1996,237.0,0.737738821,174.8441006,35,51,-16,16
109,ORL,Orlando Magic,1996,225.4,0.93402439,210.5290976,60,56,4,4
110,PHO,Phoenix Suns,1996,219.1,0.708917683,155.3238643,41,48,-7,7
111,GSW,Golden State Warriors,1996,217.0,0.314644309,68.27781504,36,36,0,0
112,CLE,Cleveland Cavaliers,1996,216.0,0.660889228,142.7520732,47,47,0,0
113,LAL,Los Angeles Lakers,1996,209.2,0.826671748,172.9397297,53,51,2,2
114,CHI,Chicago Bulls,1996,208.3,0.649618902,135.3156174,72,45,27,27
115,LAC,Los Angeles Clippers,1996,196.7,0.743338415,146.2146662,29,47,-18,18
116,BOS,Boston Celtics,1996,192.1,0.594496951,114.2028643,33,43,-10,10
117,IND,Indiana Pacers,1996,189.8,0.77527439,147.1470793,52,47,5,5
118,CHH,Charlotte Hornets,1996,185.4,0.600264228,111.2889878,41,42,-1,1
119,WSB,Washington Bullets,1996,185.1,0.552510163,102.2696311,39,41,-2,2
120,DET,Detroit Pistons,1996,183.9,0.689349593,126.7713902,46,44,2,2
121,PHI,Philadelphia 76ers,1996,180.3,0.294893293,53.16926067,18,34,-16,16
122,UTA,Utah Jazz,1996,175.4,0.808658537,141.8387073,55,46,9,9
123,SEA,Seattle SuperSonics,1996,173.5,0.799817073,138.7682622,64,46,18,18
124,SAS,San Antonio Spurs,1996,170.3,0.677962398,115.4569964,59,43,16,16
125,MIL,Milwaukee Bucks,1996,170.1,0.611239837,103.9718963,25,41,-16,16
126,DAL,Dallas Mavericks,1996,161.7,0.818262195,132.312997,26,45,-19,19
127,POR,Portland Trail Blazers,1996,160.3,0.700843496,112.3452124,44,42,2,2
128,HOU,Houston Rockets,1996,159.4,0.674684959,107.5447825,48,42,6,6
129,NYK,New York Knicks,1996,159.1,0.720132114,114.5730193,47,43,4,4
130,SAC,Sacramento Kings,1996,157.7,0.646478659,101.9496845,39,41,-2,2
131,MIN,Minnesota Timberwolves,1996,151.0,0.254283537,38.39681402,26,32,-6,6
132,MIA,Miami Heat,1996,150.9,0.043445122,6.555868902,42,27,15,15
133,ATL,Atlanta Hawks,1996,150.6,0.430965447,64.90339634,46,36,10,10
134,NJN,New Jersey Nets,1996,145.4,0.408485772,59.3938313,30,35,-5,5
135,WSB,Washington Bullets,1997,304.6,0.535335366,163.0631524,44,49,-5,5
136,HOU,Houston Rockets,1997,232.8,0.382815041,89.11934146,57,39,18,18
137,PHO,Phoenix Suns,1997,217.1,0.418170732,90.78486585,40,39,1,1
138,ORL,Orlando Magic,1997,212.1,0.663297764,140.6854558,45,46,-1,1
139,LAL,Los Angeles Lakers,1997,196.1,0.41210874,80.81452388,56,38,18,18
140,IND,Indiana Pacers,1997,194.6,0.715599593,139.2556809,39,46,-7,7
141,CLE,Cleveland Cavaliers,1997,192.6,0.686143293,132.1511982,42,45,-3,3
142,CHI,Chicago Bulls,1997,185.8,0.979110772,181.9187815,69,52,17,17
143,SEA,Seattle SuperSonics,1997,183.0,0.787942073,144.1933994,57,47,10,10
144,UTA,Utah Jazz,1997,182.6,0.82773374,151.1441809,64,48,16,16
145,LAC,Los Angeles Clippers,1997,169.1,0.855172764,144.6097144,36,47,-11,11
146,POR,Portland Trail Blazers,1997,168.6,0.424527439,71.57532622,49,36,13,13
147,DAL,Dallas Mavericks,1997,165.3,0,0,24,26,-2,2
148,DEN,Denver Nuggets,1997,163.1,0.509639228,83.12215803,21,38,-17,17
149,DET,Detroit Pistons,1997,161.4,0.730848577,117.9589604,54,43,11,11
150,CHH,Charlotte Hornets,1997,160.1,0.429542683,68.76978354,54,36,18,18
151,SAC,Sacramento Kings,1997,159.6,0.77070122,123.0039146,34,44,-10,10
152,ATL,Atlanta Hawks,1997,159.0,0.405030488,64.39984756,56,35,21,21
153,VAN,Vancouver Grizzlies,1997,155.8,0.401295732,62.521875,14,35,-21,21
154,SAS,San Antonio Spurs,1997,152.7,0.73484248,112.2104466,20,42,-22,22
155,PHI,Philadelphia 76ers,1997,151.8,0.319242886,48.46107012,22,33,-11,11
156,BOS,Boston Celtics,1997,150.6,0.775670732,116.8160122,15,43,-28,28
157,TOR,Toronto Raptors,1997,146.8,0.275746951,40.47965244,30,32,-2,2
158,GSW,Golden State Warriors,1997,145.9,0.554115854,80.84550305,30,38,-8,8
159,MIN,Minnesota Timberwolves,1997,129.5,0.558409553,72.31403709,40,37,3,3
160,NJN,New Jersey Nets,1997,120.5,0.18203252,21.9349187,26,29,-3,3
161,NYK,New York Knicks,1997,120.2,0.398338415,47.88027744,57,33,24,24
162,MIL,Milwaukee Bucks,1997,113.2,0.470416667,53.25116667,33,34,-1,1
163,MIA,Miami Heat,1997,101.2,0.332982724,33.69785163,61,31,30,30
164,CHI,Chicago Bulls,1998,215.6,0.882647358,190.2987703,62,53,9,9
165,SEA,Seattle SuperSonics,1998,211.7,0.677876016,143.5063526,61,47,14,14
166,MIA,Miami Heat,1998,209.0,0.678135163,141.730249,55,46,9,9
167,BOS,Boston Celtics,1998,197.5,0.220965447,43.64067581,36,32,4,4
168,HOU,Houston Rockets,1998,197.0,0.852281504,167.8994563,41,50,-9,9
169,LAL,Los Angeles Lakers,1998,195.0,0.719908537,140.3821646,61,46,15,15
170,LAC,Los Angeles Clippers,1998,190.3,0.61886687,117.7703653,17,43,-26,26
171,TOR,Toronto Raptors,1998,188.3,0.449893293,84.71490701,16,38,-22,22
172,PHI,Philadelphia 76ers,1998,188.2,0.44726626,84.17551016,31,38,-7,7
173,SAS,San Antonio Spurs,1998,184.0,0.577042683,106.1758537,56,41,15,15
174,POR,Portland Trail Blazers,1998,178.3,0.367855691,65.58866972,46,36,10,10
175,SAC,Sacramento Kings,1998,174.9,0.624456301,109.217407,27,42,-15,15
176,ORL,Orlando Magic,1998,172.4,0.641814024,110.6487378,41,42,-1,1
177,DET,Detroit Pistons,1998,171.5,0.564679878,96.84259909,37,40,-3,3
178,CLE,Cleveland Cavaliers,1998,166.2,0.314695122,52.30232927,47,34,13,13
179,NYK,New York Knicks,1998,166.1,0.945569106,157.0590285,43,49,-6,6
180,IND,Indiana Pacers,1998,162.4,0.746473577,121.2273089,58,43,15,15
181,UTA,Utah Jazz,1998,162.2,0.978231707,158.6691829,62,49,13,13
182,ATL,Atlanta Hawks,1998,162.2,0.813739837,131.9886016,50,45,5,5
183,VAN,Vancouver Grizzlies,1998,160.2,0.543119919,87.00781098,19,39,-20,20
184,PHO,Phoenix Suns,1998,159.8,0.536707317,85.76582927,56,38,18,18
185,MIN,Minnesota Timberwolves,1998,159.6,0.80125,127.8795,45,44,1,1
186,CHH,Charlotte Hornets,1998,145.5,0.634110772,92.26311738,51,39,12,12
187,GSW,Golden State Warriors,1998,144.8,0.330919715,47.9171748,19,33,-14,14
188,DEN,Denver Nuggets,1998,139.1,0.192621951,26.79371341,11,30,-19,19
189,MIL,Milwaukee Bucks,1998,125.7,0.53296748,66.9940122,36,36,0,0
190,NJN,New Jersey Nets,1998,121.4,0.467261179,56.72550711,43,34,9,9
191,DAL,Dallas Mavericks,1998,59.5,0.069146341,4.114207317,20,27,-7,7
221,DET,Detroit Pistons,2000,253.0,0.42695122,108.0186585,42,42,0,0
222,DEN,Denver Nuggets,2000,250.5,0.406224593,101.7592607,35,41,-6,6
223,POR,Portland Trail Blazers,2000,225.7,0.406387195,91.72158994,59,39,20,20
224,PHO,Phoenix Suns,2000,224.7,0.393556911,88.4322378,53,39,14,14
225,SAS,San Antonio Spurs,2000,213.0,0.584613821,124.5227439,53,44,9,9
226,LAC,Los Angeles Clippers,2000,199.3999999999999,0.314136179,62.63875407,15,35,-20,20
227,SEA,Seattle SuperSonics,2000,199.1,0.201310976,40.08101524,45,32,13,13
228,ATL,Atlanta Hawks,2000,194.0,0.236077236,45.79898374,28,33,-5,5
229,LAL,Los Angeles Lakers,2000,192.7,0.412571138,79.50245833,67,38,29,29
230,SAC,Sacramento Kings,2000,185.4,0.488556911,90.57845122,44,39,5,5
231,NYK,New York Knicks,2000,185.3999999999999,0.601112805,111.446314,50,42,8,8
232,WAS,Washington Wizards,2000,179.5,0.317881098,57.05965701,29,34,-5,5
233,HOU,Houston Rockets,2000,178.1,0.298292683,53.12592683,34,34,0,0
234,MIA,Miami Heat,2000,178.0,0.499954268,88.99185976,52,39,13,13
235,DAL,Dallas Mavericks,2000,177.6,0.49351626,87.6484878,40,39,1,1
236,IND,Indiana Pacers,2000,175.2,0.544405488,95.37984146,56,40,16,16
237,UTA,Utah Jazz,2000,168.5,0.485609756,81.8252439,55,38,17,17
238,VAN,Vancouver Grizzlies,2000,161.9,0.361392276,58.50940955,22,35,-13,13
239,GSW,Golden State Warriors,2000,160.1,0.387063008,61.9687876,19,35,-16,16
240,MIL,Milwaukee Bucks,2000,158.7,0.315172764,50.01791768,42,33,9,9
241,CHI,Chicago Bulls,2000,158.6,0.184913618,29.3272998,17,30,-13,13
242,BOS,Boston Celtics,2000,154.6,0.362083333,55.97808333,35,34,1,1
243,MIN,Minnesota Timberwolves,2000,144.2,0.462830285,66.74012703,50,36,14,14
244,PHI,Philadelphia 76ers,2000,142.6,0.47120935,67.19445325,49,36,13,13
245,CLE,Cleveland Cavaliers,2000,141.1,0.386971545,54.60168496,32,34,-2,2
246,CHH,Charlotte Hornets,2000,120.3,0.321788618,38.71117073,49,32,17,17
247,TOR,Toronto Raptors,2000,114.6,0.555533537,63.66414329,45,35,10,10
248,ORL,Orlando Magic,2000,111.2,0.251107724,27.92317886,41,30,11,11
249,NJN,New Jersey Nets,2000,43.50000000000001,0.321463415,13.98365854,31,28,3,3
250,HOU,Houston Rockets,2001,237.3,0.858191057,203.6487378,45,55,-10,10
251,PHO,Phoenix Suns,2001,217.0,0.661702236,143.5893852,51,47,4,4
252,IND,Indiana Pacers,2001,215.9,0.659476626,142.3810036,41,46,-5,5
253,MIA,Miami Heat,2001,206.2,0.445614837,91.88577947,50,39,11,11
254,NJN,New Jersey Nets,2001,199.9,0.775706301,155.0636895,26,48,-22,22
255,WAS,Washington Wizards,2001,197.8,0.475482724,94.05048272,19,40,-21,21
256,SAS,San Antonio Spurs,2001,197.4,0.792139228,156.3682835,58,48,10,10
257,POR,Portland Trail Blazers,2001,196.8,0.892591463,175.662,50,51,-1,1
258,SAC,Sacramento Kings,2001,188.9,0.833577236,157.4627398,55,49,6,6
259,DAL,Dallas Mavericks,2001,183.6,0.561753049,103.1378598,53,41,12,12
260,SEA,Seattle SuperSonics,2001,182.2,0.744207317,135.5945732,44,46,-2,2
261,LAL,Los Angeles Lakers,2001,181.3,0.733038618,132.8999014,56,45,11,11
262,GSW,Golden State Warriors,2001,178.7,0.437581301,78.19577846,17,37,-20,20
263,VAN,Vancouver Grizzlies,2001,177.7,0.669512195,118.9723171,23,43,-20,20
264,MIN,Minnesota Timberwolves,2001,176.7,0.735513211,129.9651845,47,45,2,2
265,BOS,Boston Celtics,2001,175.2,0.79609248,139.4754024,36,46,-10,10
